female,male,male_c,pop,year,iter
0.0,0.0,0.0,POP_TGW,1970,
0.0,0.0,0.0,POP_TGW,1971,
0.0,0.0,0.0,POP_TGW,1972,
0.0,0.0,0.0,POP_TGW,1973,
0.0,0.0,0.0,POP_TGW,1974,
0.0,16.666527691150606,1.3025266032245546,POP_TGW,1975,
0.0,17.90610112005672,1.3878850993520668,POP_TGW,1976,
0.0,23.459435937980846,1.8472278955127261,POP_TGW,1977,
0.0,30.202213784668135,2.4280043531339053,POP_TGW,1978,
0.0,37.750147319954934,3.1135832020690257,POP_TGW,1979,
0.0,45.94626275379952,3.9065679075366897,POP_TGW,1980,
0.0,54.47343689045512,4.795616259564466,POP_TGW,1981,
0.0,63.007524977713715,5.7660694497296,POP_TGW,1982,
0.0,71.2296292072333,6.799222932268139,POP_TGW,1983,
0.0,78.83994848853229,7.871925447298301,POP_TGW,1984,
0.0,85.6179391745584,8.960235892931813,POP_TGW,1985,
0.0,91.419879819731,10.039932134691968,POP_TGW,1986,
0.0,96.06636441263781,11.073649087167993,POP_TGW,1987,
0.0,102.10563842212719,12.350355835126477,POP_TGW,1988,
0.0,106.43666525785628,13.489192852374622,POP_TGW,1989,
0.0,109.72975327731689,14.537181464418941,POP_TGW,1990,
0.0,111.10201745607823,15.337876045607766,POP_TGW,1991,
0.0,111.40550144964156,15.965900738371769,POP_TGW,1992,
0.0,111.73320085513504,16.55297997863938,POP_TGW,1993,
0.0,108.68326156891328,16.568802108734538,POP_TGW,1994,
0.0,103.65507823049832,16.18778200997872,POP_TGW,1995,
0.0,103.86077684387897,16.57303411784075,POP_TGW,1996,
0.0,104.19078295814114,16.948532264521283,POP_TGW,1997,
0.0,104.59212140140282,17.319445172943546,POP_TGW,1998,
0.0,105.2211163299881,17.729467257633054,POP_TGW,1999,
0.0,105.93017808734982,18.103186004692336,POP_TGW,2000,
0.0,106.88058977230587,18.557520613230743,POP_TGW,2001,
0.0,108.00894077894438,19.086349968137693,POP_TGW,2002,
0.0,109.27054579938888,19.694537030265735,POP_TGW,2003,
0.0,109.92822502943609,20.227016626645636,POP_TGW,2004,
0.0,110.22297673382141,20.734622785848604,POP_TGW,2005,
0.0,110.12172438456186,21.203672048188537,POP_TGW,2006,
0.0,109.69958550085397,21.650262360968455,POP_TGW,2007,
0.0,108.14264142140364,21.87345410017795,POP_TGW,2008,
0.0,99.96098921973127,20.514443023715437,POP_TGW,2009,
0.0,95.7296194538997,20.070786435240343,POP_TGW,2010,
0.0,99.00848183349757,21.531209184216202,POP_TGW,2011,
0.0,98.60121730429606,22.19551201550363,POP_TGW,2012,
0.0,86.19043063277141,19.844575067641173,POP_TGW,2013,
0.0,86.34899168783554,20.684718774216716,POP_TGW,2014,
0.0,87.06380886448123,21.766691311750797,POP_TGW,2015,
0.0,75.83533234366806,19.769466853972936,POP_TGW,2016,
0.0,65.52652923524073,17.7068407292794,POP_TGW,2017,
0.0,57.541522808357236,16.053910813490223,POP_TGW,2018,
0.0,54.752394726867315,15.747707264475864,POP_TGW,2019,
0.0,52.047414318265965,15.420431577619542,POP_TGW,2020,
0.0,51.47425464736115,15.685331608482215,POP_TGW,2021,
0.0,51.52997813157282,16.136938185133666,POP_TGW,2022,
0.0,51.44065048517609,16.531334627691926,POP_TGW,2023,
0.0,51.30310063370549,16.892749416111386,POP_TGW,2024,
0.0,51.13379388085329,17.222012037873185,POP_TGW,2025,
0.0,50.94629661326497,17.520912587147443,POP_TGW,2026,
0.0,50.74377535754857,17.789929401456554,POP_TGW,2027,
0.0,50.52910387480896,18.029103671674157,POP_TGW,2028,
0.0,50.29927792148671,18.238217467946647,POP_TGW,2029,
0.0,50.05008319603918,18.41643836865242,POP_TGW,2030,
0.0,0.0,0.0,POP_NOSEX,1970,25.0
0.0,0.0,0.0,POP_NOSEX,1971,25.0
0.0,0.0,0.0,POP_NOSEX,1972,25.0
0.0,0.0,0.0,POP_NOSEX,1973,25.0
0.0,0.0,0.0,POP_NOSEX,1974,25.0
0.0,0.0,0.0,POP_NOSEX,1975,25.0
0.0,0.0,0.0,POP_NOSEX,1976,25.0
0.0,0.0,0.0,POP_NOSEX,1977,25.0
0.0,0.0,0.0,POP_NOSEX,1978,25.0
0.0,0.0,0.0,POP_NOSEX,1979,25.0
0.0,0.0,0.0,POP_NOSEX,1980,25.0
0.0,0.0,0.0,POP_NOSEX,1981,25.0
0.0,0.0,0.0,POP_NOSEX,1982,25.0
0.0,0.0,0.0,POP_NOSEX,1983,25.0
0.0,0.0,0.0,POP_NOSEX,1984,25.0
0.0,0.0,0.0,POP_NOSEX,1985,25.0
0.0,0.0,0.0,POP_NOSEX,1986,25.0
0.0,0.0,0.0,POP_NOSEX,1987,25.0
0.0,0.0,0.0,POP_NOSEX,1988,25.0
0.0,0.0,0.0,POP_NOSEX,1989,25.0
0.0,0.0,0.0,POP_NOSEX,1990,25.0
0.0,0.0,0.0,POP_NOSEX,1991,25.0
0.0,0.0,0.0,POP_NOSEX,1992,25.0
0.0,0.0,0.0,POP_NOSEX,1993,25.0
0.0,0.0,0.0,POP_NOSEX,1994,25.0
0.0,0.0,0.0,POP_NOSEX,1995,25.0
0.0,0.0,0.0,POP_NOSEX,1996,25.0
0.0,0.0,0.0,POP_NOSEX,1997,25.0
0.0,0.0,0.0,POP_NOSEX,1998,25.0
0.0,0.0,0.0,POP_NOSEX,1999,25.0
0.0,0.0,0.0,POP_NOSEX,2000,25.0
0.0,0.0,0.0,POP_NOSEX,2001,25.0
0.0,0.0,0.0,POP_NOSEX,2002,25.0
0.0,0.0,0.0,POP_NOSEX,2003,25.0
0.0,0.0,0.0,POP_NOSEX,2004,25.0
0.0,0.0,0.0,POP_NOSEX,2005,25.0
0.0,0.0,0.0,POP_NOSEX,2006,25.0
0.0,0.0,0.0,POP_NOSEX,2007,25.0
0.0,0.0,0.0,POP_NOSEX,2008,25.0
0.0,0.0,0.0,POP_NOSEX,2009,25.0
0.0,0.0,0.0,POP_NOSEX,2010,25.0
0.0,0.0,0.0,POP_NOSEX,2011,25.0
0.0,0.0,0.0,POP_NOSEX,2012,25.0
0.0,0.0,0.0,POP_NOSEX,2013,25.0
0.0,0.0,0.0,POP_NOSEX,2014,25.0
0.0,0.0,0.0,POP_NOSEX,2015,25.0
0.0,0.0,0.0,POP_NOSEX,2016,25.0
0.0,0.0,0.0,POP_NOSEX,2017,25.0
0.0,0.0,0.0,POP_NOSEX,2018,25.0
0.0,0.0,0.0,POP_NOSEX,2019,25.0
0.0,0.0,0.0,POP_NOSEX,2020,25.0
0.0,0.0,0.0,POP_NOSEX,2021,25.0
0.0,0.0,0.0,POP_NOSEX,2022,25.0
0.0,0.0,0.0,POP_NOSEX,2023,25.0
0.0,0.0,0.0,POP_NOSEX,2024,25.0
0.0,0.0,0.0,POP_NOSEX,2025,25.0
0.0,0.0,0.0,POP_NOSEX,2026,25.0
0.0,0.0,0.0,POP_NOSEX,2027,25.0
0.0,0.0,0.0,POP_NOSEX,2028,25.0
0.0,0.0,0.0,POP_NOSEX,2029,25.0
0.0,0.0,0.0,POP_NOSEX,2030,25.0
0.0,0.0,0.0,POP_NEVER,1970,25.0
0.0,0.0,0.0,POP_NEVER,1971,25.0
0.0,0.0,0.0,POP_NEVER,1972,25.0
0.0,0.0,0.0,POP_NEVER,1973,25.0
0.0,0.0,0.0,POP_NEVER,1974,25.0
1212.0018919946713,400.01896049081864,29.1616972410123,POP_NEVER,1975,25.0
840.2676630074887,213.079611772116,15.457123821170642,POP_NEVER,1976,25.0
1093.3898537438265,252.11082428068778,18.461159207281394,POP_NEVER,1977,25.0
1435.0482445222513,306.91033131444283,22.624443716775463,POP_NEVER,1978,25.0
1845.376721233477,372.3573348164665,27.590597012879307,POP_NEVER,1979,25.0
2320.9814811385695,448.43942128279133,33.389495514507296,POP_NEVER,1980,25.0
2857.132898473252,534.9550155148811,40.032191857594206,POP_NEVER,1981,25.0
3450.4032787444817,631.8966847803533,47.547597918863964,POP_NEVER,1982,25.0
4094.8286643050506,738.8620058984314,55.93834617731654,POP_NEVER,1983,25.0
4781.3639483868055,854.9438072660234,65.17111512412278,POP_NEVER,1984,25.0
5503.354968392537,979.2814034318212,75.21121349493863,POP_NEVER,1985,25.0
