female,male,male_c,pop,year,iter
0.0,0.0,0.0,POP_TGW,1970,
0.0,0.0,0.0,POP_TGW,1971,
0.0,0.0,0.0,POP_TGW,1972,
0.0,0.0,0.0,POP_TGW,1973,
0.0,0.0,0.0,POP_TGW,1974,
0.0,15.781570374350883,1.2346210003996856,POP_TGW,1975,
0.0,17.312621299542833,1.3421259280823106,POP_TGW,1976,
0.0,22.862885514196268,1.8006745114854323,POP_TGW,1977,
0.0,29.615412616971547,2.381725438419363,POP_TGW,1978,
0.0,37.17125277817123,3.0674366995899125,POP_TGW,1979,
0.0,45.35221704190108,3.8585083951314303,POP_TGW,1980,
0.0,53.82343404256385,4.741579709055234,POP_TGW,1981,
0.0,62.2490840952204,5.700009388814384,POP_TGW,1982,
0.0,70.30944227317616,6.713638367246318,POP_TGW,1983,
0.0,77.71556706900348,7.7586980276724375,POP_TGW,1984,
0.0,84.26482160627259,8.811440609789813,POP_TGW,1985,
0.0,89.83591408990256,9.848773184433771,POP_TGW,1986,
0.0,94.2740401365684,10.83569844317046,POP_TGW,1987,
0.0,100.06287522069485,12.050844588744608,POP_TGW,1988,
0.0,104.23186143191117,13.13364014907568,POP_TGW,1989,
0.0,107.41341656070124,14.127787209367193,POP_TGW,1990,
0.0,108.72750236671148,14.882002418574984,POP_TGW,1991,
0.0,108.99691715486779,15.47006474254712,POP_TGW,1992,
0.0,109.28206520802044,16.020310164921145,POP_TGW,1993,
0.0,106.25162488327982,16.019858486114256,POP_TGW,1994,
0.0,101.27695854185447,15.638404727036578,POP_TGW,1995,
0.0,101.44294145498834,16.00187229977522,POP_TGW,1996,
0.0,101.73109659224987,16.357284776602555,POP_TGW,1997,
0.0,102.09242893025323,16.708972976824846,POP_TGW,1998,
0.0,102.68999267071791,17.100700359666195,POP_TGW,1999,
0.0,103.35705520630937,17.452408851958882,POP_TGW,2000,
0.0,104.28232346061918,17.884030729825167,POP_TGW,2001,
0.0,105.40344291833915,18.38898592560259,POP_TGW,2002,
0.0,106.67231200276423,18.97111015145294,POP_TGW,2003,
0.0,107.35201952917359,19.47814574713923,POP_TGW,2004,
0.0,107.66888058718507,19.958242710807973,POP_TGW,2005,
0.0,107.57904264112557,20.39691888261185,POP_TGW,2006,
0.0,107.15534656832922,20.80980840402496,POP_TGW,2007,
0.0,105.59356882166193,21.002908712199446,POP_TGW,2008,
0.0,97.44073586215994,19.658852957239198,POP_TGW,2009,
0.0,93.1965675778089,19.20493914078055,POP_TGW,2010,
0.0,96.41467994343024,20.59989507941954,POP_TGW,2011,
0.0,96.00769273064898,21.22121096506966,POP_TGW,2012,
0.0,83.76612016898042,18.93522465717736,POP_TGW,2013,
0.0,83.8787809216289,19.723510345958946,POP_TGW,2014,
0.0,84.56302735476427,20.744982796162294,POP_TGW,2015,
0.0,73.58361268356101,18.821178619452777,POP_TGW,2016,
0.0,63.576884419904694,16.860377268630106,POP_TGW,2017,
0.0,55.888433857489346,15.308648243066713,POP_TGW,2018,
0.0,53.31741440281738,15.061121004413092,POP_TGW,2019,
0.0,50.841206775127276,14.800088966527523,POP_TGW,2020,
0.0,50.470920110509006,15.117892995622121,POP_TGW,2021,
0.0,50.711068583888974,15.617921430204635,POP_TGW,2022,
0.0,50.80434570223292,16.065816872858584,POP_TGW,2023,
0.0,50.84468721333896,16.48405453065043,POP_TGW,2024,
0.0,50.84672502496874,16.87229263236638,POP_TGW,2025,
0.0,50.82258199497133,17.231208538901328,POP_TGW,2026,
0.0,50.77546154161357,17.560651901009408,POP_TGW,2027,
0.0,50.7085891903386,17.860212660652163,POP_TGW,2028,
0.0,50.619983038069115,18.129504954985563,POP_TGW,2029,
0.0,50.505705259506676,18.367350154752312,POP_TGW,2030,
0.0,0.0,0.0,POP_NOSEX,1970,52.0
0.0,0.0,0.0,POP_NOSEX,1971,52.0
0.0,0.0,0.0,POP_NOSEX,1972,52.0
0.0,0.0,0.0,POP_NOSEX,1973,52.0
0.0,0.0,0.0,POP_NOSEX,1974,52.0
0.0,0.0,0.0,POP_NOSEX,1975,52.0
0.0,0.0,0.0,POP_NOSEX,1976,52.0
0.0,0.0,0.0,POP_NOSEX,1977,52.0
0.0,0.0,0.0,POP_NOSEX,1978,52.0
0.0,0.0,0.0,POP_NOSEX,1979,52.0
0.0,0.0,0.0,POP_NOSEX,1980,52.0
0.0,0.0,0.0,POP_NOSEX,1981,52.0
0.0,0.0,0.0,POP_NOSEX,1982,52.0
0.0,0.0,0.0,POP_NOSEX,1983,52.0
0.0,0.0,0.0,POP_NOSEX,1984,52.0
0.0,0.0,0.0,POP_NOSEX,1985,52.0
0.0,0.0,0.0,POP_NOSEX,1986,52.0
0.0,0.0,0.0,POP_NOSEX,1987,52.0
0.0,0.0,0.0,POP_NOSEX,1988,52.0
0.0,0.0,0.0,POP_NOSEX,1989,52.0
0.0,0.0,0.0,POP_NOSEX,1990,52.0
0.0,0.0,0.0,POP_NOSEX,1991,52.0
0.0,0.0,0.0,POP_NOSEX,1992,52.0
0.0,0.0,0.0,POP_NOSEX,1993,52.0
0.0,0.0,0.0,POP_NOSEX,1994,52.0
0.0,0.0,0.0,POP_NOSEX,1995,52.0
0.0,0.0,0.0,POP_NOSEX,1996,52.0
0.0,0.0,0.0,POP_NOSEX,1997,52.0
0.0,0.0,0.0,POP_NOSEX,1998,52.0
0.0,0.0,0.0,POP_NOSEX,1999,52.0
0.0,0.0,0.0,POP_NOSEX,2000,52.0
0.0,0.0,0.0,POP_NOSEX,2001,52.0
0.0,0.0,0.0,POP_NOSEX,2002,52.0
0.0,0.0,0.0,POP_NOSEX,2003,52.0
0.0,0.0,0.0,POP_NOSEX,2004,52.0
0.0,0.0,0.0,POP_NOSEX,2005,52.0
0.0,0.0,0.0,POP_NOSEX,2006,52.0
0.0,0.0,0.0,POP_NOSEX,2007,52.0
0.0,0.0,0.0,POP_NOSEX,2008,52.0
0.0,0.0,0.0,POP_NOSEX,2009,52.0
0.0,0.0,0.0,POP_NOSEX,2010,52.0
0.0,0.0,0.0,POP_NOSEX,2011,52.0
0.0,0.0,0.0,POP_NOSEX,2012,52.0
0.0,0.0,0.0,POP_NOSEX,2013,52.0
0.0,0.0,0.0,POP_NOSEX,2014,52.0
0.0,0.0,0.0,POP_NOSEX,2015,52.0
0.0,0.0,0.0,POP_NOSEX,2016,52.0
0.0,0.0,0.0,POP_NOSEX,2017,52.0
0.0,0.0,0.0,POP_NOSEX,2018,52.0
0.0,0.0,0.0,POP_NOSEX,2019,52.0
0.0,0.0,0.0,POP_NOSEX,2020,52.0
0.0,0.0,0.0,POP_NOSEX,2021,52.0
0.0,0.0,0.0,POP_NOSEX,2022,52.0
0.0,0.0,0.0,POP_NOSEX,2023,52.0
0.0,0.0,0.0,POP_NOSEX,2024,52.0
0.0,0.0,0.0,POP_NOSEX,2025,52.0
0.0,0.0,0.0,POP_NOSEX,2026,52.0
0.0,0.0,0.0,POP_NOSEX,2027,52.0
0.0,0.0,0.0,POP_NOSEX,2028,52.0
0.0,0.0,0.0,POP_NOSEX,2029,52.0
0.0,0.0,0.0,POP_NOSEX,2030,52.0
0.0,0.0,0.0,POP_NEVER,1970,52.0
0.0,0.0,0.0,POP_NEVER,1971,52.0
0.0,0.0,0.0,POP_NEVER,1972,52.0
0.0,0.0,0.0,POP_NEVER,1973,52.0
0.0,0.0,0.0,POP_NEVER,1974,52.0
1241.0734645503007,414.3934102635937,30.386650500940334,POP_NEVER,1975,52.0
880.761255618177,225.0622835405328,16.390103997501477,POP_NEVER,1976,52.0
1154.033761687293,268.94755161707,19.75982543781188,POP_NEVER,1977,52.0
1523.384085973216,330.40184257179095,24.42753134458838,POP_NEVER,1978,52.0
1967.8215713635502,403.96538550613315,30.013531042877368,POP_NEVER,1979,52.0
2483.2879301261064,489.5851127986737,36.549764940896,POP_NEVER,1980,52.0
3064.103932334785,586.9572085888719,44.04407327078993,POP_NEVER,1981,52.0
3705.875466024414,695.9682912234248,52.52184042423732,POP_NEVER,1982,52.0
4401.539257086717,816.085857504688,61.98027275337047,POP_NEVER,1983,52.0
5140.8660799746385,946.2480362753697,72.37849852054165,POP_NEVER,1984,52.0
5916.3645366236615,1085.4562441856915,83.67472062860375,POP_NEVER,1985,52.0
