female,male,male_c,pop,year,iter
0.0,0.0,0.0,POP_TGW,1970,
0.0,0.0,0.0,POP_TGW,1971,
0.0,0.0,0.0,POP_TGW,1972,
0.0,0.0,0.0,POP_TGW,1973,
0.0,0.0,0.0,POP_TGW,1974,
0.0,17.294283298892616,1.3531792241070302,POP_TGW,1975,
0.0,18.693380806585107,1.452327630398284,POP_TGW,1976,
0.0,24.58351318514597,1.9417148677117246,POP_TGW,1977,
0.0,31.7404076667281,2.561943392938721,POP_TGW,1978,
0.0,39.742185568928484,3.294950065340176,POP_TGW,1979,
0.0,48.396263634567646,4.142219100007651,POP_TGW,1980,
0.0,57.33858878074937,5.089946733592724,POP_TGW,1981,
0.0,66.20075862282485,6.120458418545502,POP_TGW,1982,
0.0,74.6294044911742,7.211779166548822,POP_TGW,1983,
0.0,82.3048099355061,8.33751586016485,POP_TGW,1984,
0.0,89.00522191502333,9.470973251298954,POP_TGW,1985,
0.0,94.60223283026805,10.585859152992414,POP_TGW,1986,
0.0,98.9426054690681,11.642988194828321,POP_TGW,1987,
0.0,104.65304285663366,12.943775063416357,POP_TGW,1988,
0.0,108.6124796792293,14.0929189919985,POP_TGW,1989,
0.0,111.53454791732844,15.140598070834937,POP_TGW,1990,
0.0,112.55314008782001,15.926288886852246,POP_TGW,1991,
0.0,112.56023460309443,16.531007475611897,POP_TGW,1992,
0.0,112.67064977962127,17.09361732374734,POP_TGW,1993,
0.0,109.45591812360597,17.068897540494657,POP_TGW,1994,
0.0,104.32425032143529,16.640802908587865,POP_TGW,1995,
0.0,104.49882033148783,17.004695402274354,POP_TGW,1996,
0.0,104.82789626092469,17.361420605841445,POP_TGW,1997,
0.0,105.24699521274349,17.716503733217394,POP_TGW,1998,
0.0,105.90594312605907,18.114752809504086,POP_TGW,1999,
0.0,106.66101967906559,18.4814443212393,POP_TGW,2000,
0.0,107.64831222380951,18.932650617146155,POP_TGW,2001,
0.0,108.80515508435985,19.462301643013465,POP_TGW,2002,
0.0,110.0847210536182,20.075021759148818,POP_TGW,2003,
0.0,110.75317786540411,20.61361955855441,POP_TGW,2004,
0.0,111.0536927452338,21.12933412715933,POP_TGW,2005,
0.0,110.95984560433013,21.608515865718267,POP_TGW,2006,
0.0,110.55127077901452,22.067830914888457,POP_TGW,2007,
0.0,109.02482308536531,22.305118280067976,POP_TGW,2008,
0.0,100.92029814165123,20.945397142969203,POP_TGW,2009,
0.0,96.78517073859135,20.518833763220748,POP_TGW,2010,
0.0,100.17434080835179,22.030459160799516,POP_TGW,2011,
0.0,99.87720093598026,22.74159018435421,POP_TGW,2012,
0.0,87.53217889459988,20.38617748825865,POP_TGW,2013,
0.0,87.82036966912109,21.282392841731564,POP_TGW,2014,
0.0,88.67081910181894,22.4326809537775,POP_TGW,2015,
0.0,77.38493587933148,20.418055082242237,POP_TGW,2016,
0.0,67.04575611744049,18.33303733841503,POP_TGW,2017,
0.0,59.06082055952457,16.666747673726984,POP_TGW,2018,
0.0,56.38185981054223,16.394684352997114,POP_TGW,2019,
0.0,53.76479299484929,16.098636376180163,POP_TGW,2020,
0.0,53.339443015090346,16.42123165186195,POP_TGW,2021,
0.0,53.55159431658752,16.93917136618631,POP_TGW,2022,
0.0,53.60908895229065,17.398963390421123,POP_TGW,2023,
0.0,53.6133044452972,17.825662361081474,POP_TGW,2024,
0.0,53.581964757648244,18.21986122738191,POP_TGW,2025,
0.0,53.52959866105695,18.583168681634312,POP_TGW,2026,
0.0,53.459880623166214,18.915954822280625,POP_TGW,2027,
0.0,53.37624420313158,19.21815294478422,POP_TGW,2028,
0.0,53.27551782693934,19.489376829710903,POP_TGW,2029,
0.0,53.153151000688545,19.72855233672506,POP_TGW,2030,
0.0,0.0,0.0,POP_NOSEX,1970,6.0
0.0,0.0,0.0,POP_NOSEX,1971,6.0
0.0,0.0,0.0,POP_NOSEX,1972,6.0
0.0,0.0,0.0,POP_NOSEX,1973,6.0
0.0,0.0,0.0,POP_NOSEX,1974,6.0
0.0,0.0,0.0,POP_NOSEX,1975,6.0
0.0,0.0,0.0,POP_NOSEX,1976,6.0
0.0,0.0,0.0,POP_NOSEX,1977,6.0
0.0,0.0,0.0,POP_NOSEX,1978,6.0
0.0,0.0,0.0,POP_NOSEX,1979,6.0
0.0,0.0,0.0,POP_NOSEX,1980,6.0
0.0,0.0,0.0,POP_NOSEX,1981,6.0
0.0,0.0,0.0,POP_NOSEX,1982,6.0
0.0,0.0,0.0,POP_NOSEX,1983,6.0
0.0,0.0,0.0,POP_NOSEX,1984,6.0
0.0,0.0,0.0,POP_NOSEX,1985,6.0
0.0,0.0,0.0,POP_NOSEX,1986,6.0
0.0,0.0,0.0,POP_NOSEX,1987,6.0
0.0,0.0,0.0,POP_NOSEX,1988,6.0
0.0,0.0,0.0,POP_NOSEX,1989,6.0
0.0,0.0,0.0,POP_NOSEX,1990,6.0
0.0,0.0,0.0,POP_NOSEX,1991,6.0
0.0,0.0,0.0,POP_NOSEX,1992,6.0
0.0,0.0,0.0,POP_NOSEX,1993,6.0
0.0,0.0,0.0,POP_NOSEX,1994,6.0
0.0,0.0,0.0,POP_NOSEX,1995,6.0
0.0,0.0,0.0,POP_NOSEX,1996,6.0
0.0,0.0,0.0,POP_NOSEX,1997,6.0
0.0,0.0,0.0,POP_NOSEX,1998,6.0
0.0,0.0,0.0,POP_NOSEX,1999,6.0
0.0,0.0,0.0,POP_NOSEX,2000,6.0
0.0,0.0,0.0,POP_NOSEX,2001,6.0
0.0,0.0,0.0,POP_NOSEX,2002,6.0
0.0,0.0,0.0,POP_NOSEX,2003,6.0
0.0,0.0,0.0,POP_NOSEX,2004,6.0
0.0,0.0,0.0,POP_NOSEX,2005,6.0
0.0,0.0,0.0,POP_NOSEX,2006,6.0
0.0,0.0,0.0,POP_NOSEX,2007,6.0
0.0,0.0,0.0,POP_NOSEX,2008,6.0
0.0,0.0,0.0,POP_NOSEX,2009,6.0
0.0,0.0,0.0,POP_NOSEX,2010,6.0
0.0,0.0,0.0,POP_NOSEX,2011,6.0
0.0,0.0,0.0,POP_NOSEX,2012,6.0
0.0,0.0,0.0,POP_NOSEX,2013,6.0
0.0,0.0,0.0,POP_NOSEX,2014,6.0
0.0,0.0,0.0,POP_NOSEX,2015,6.0
0.0,0.0,0.0,POP_NOSEX,2016,6.0
0.0,0.0,0.0,POP_NOSEX,2017,6.0
0.0,0.0,0.0,POP_NOSEX,2018,6.0
0.0,0.0,0.0,POP_NOSEX,2019,6.0
0.0,0.0,0.0,POP_NOSEX,2020,6.0
0.0,0.0,0.0,POP_NOSEX,2021,6.0
0.0,0.0,0.0,POP_NOSEX,2022,6.0
0.0,0.0,0.0,POP_NOSEX,2023,6.0
0.0,0.0,0.0,POP_NOSEX,2024,6.0
0.0,0.0,0.0,POP_NOSEX,2025,6.0
0.0,0.0,0.0,POP_NOSEX,2026,6.0
0.0,0.0,0.0,POP_NOSEX,2027,6.0
0.0,0.0,0.0,POP_NOSEX,2028,6.0
0.0,0.0,0.0,POP_NOSEX,2029,6.0
0.0,0.0,0.0,POP_NOSEX,2030,6.0
0.0,0.0,0.0,POP_NEVER,1970,6.0
0.0,0.0,0.0,POP_NEVER,1971,6.0
0.0,0.0,0.0,POP_NEVER,1972,6.0
0.0,0.0,0.0,POP_NEVER,1973,6.0
0.0,0.0,0.0,POP_NEVER,1974,6.0
1131.76623597713,319.2655702118947,23.565399609948734,POP_NEVER,1975,6.0
831.6119109049511,178.22789247935827,13.027532128437036,POP_NEVER,1976,6.0
1097.7522779708327,215.51546536583524,15.880339278214326,POP_NEVER,1977,6.0
1458.5703120965645,267.3394038172852,19.814273918885565,POP_NEVER,1978,6.0
1894.4860209811495,329.62086631777845,24.546165501678775,POP_NEVER,1979,6.0
2401.432448794652,402.1214431723576,30.08829383078984,POP_NEVER,1980,6.0
2973.768723707226,484.4949974426166,36.43990462263505,POP_NEVER,1981,6.0
3606.984308668947,576.5746255757649,43.615943085549944,POP_NEVER,1982,6.0
4293.863900489034,677.8293038975945,51.606376164078775,POP_NEVER,1983,6.0
5024.041106300078,787.2794471907973,60.36854838763321,POP_NEVER,1984,6.0
5789.866525588211,904.0988232691897,69.86660093701741,POP_NEVER,1985,6.0
