iter,param,param_value
1,same-sex-variance,0
2,same-sex-variance,5
3,same-sex-variance,10
4,same-sex-variance,15
5,same-sex-variance,20
6,same-sex-variance,25
7,same-sex-variance,30
8,same-sex-variance,35
9,same-sex-variance,40
10,same-sex-variance,45
11,same-sex-variance,50
12,same-sex-variance,55
13,same-sex-variance,60
14,same-sex-variance,65
