female,male,male_c,pop,year,iter
0.0,0.0,0.0,POP_TGW,1970,
0.0,0.0,0.0,POP_TGW,1971,
0.0,0.0,0.0,POP_TGW,1972,
0.0,0.0,0.0,POP_TGW,1973,
0.0,0.0,0.0,POP_TGW,1974,
0.0,17.13809350738705,1.334075368272904,POP_TGW,1975,
0.0,18.745758251484418,1.4491235350668201,POP_TGW,1976,
0.0,24.689555529683297,1.9436661097535561,POP_TGW,1977,
0.0,31.881668179852127,2.5695423083359055,POP_TGW,1978,
0.0,39.890909267827645,3.3082462482152986,POP_TGW,1979,
0.0,48.51281782242244,4.160433506939194,POP_TGW,1980,
0.0,57.37190943783636,5.111219583732034,POP_TGW,1981,
0.0,66.09215216471483,6.141773890291757,POP_TGW,1982,
0.0,74.31921635113167,7.229057099873371,POP_TGW,1983,
0.0,81.74165595764198,8.34593063945537,POP_TGW,1984,
0.0,88.15258912599134,9.465356950516032,POP_TGW,1985,
0.0,93.44318301831188,10.561135577670125,POP_TGW,1986,
0.0,97.48170212743028,11.594589820520241,POP_TGW,1987,
0.0,102.8822804150964,12.868011610343673,POP_TGW,1988,
0.0,106.56338254862175,13.985038834686646,POP_TGW,1989,
0.0,109.24035017616012,14.998373471664621,POP_TGW,1990,
0.0,110.06705743963781,15.749957949909584,POP_TGW,1991,
0.0,109.91876616900687,16.32132675258553,POP_TGW,1992,
0.0,109.88613835580259,16.85059653245664,POP_TGW,1993,
0.0,106.63333036185705,16.801419039594485,POP_TGW,1994,
0.0,101.546362055769,16.357817977350823,POP_TGW,1995,
0.0,101.68685869129521,16.6995036729416,POP_TGW,1996,
0.0,102.0278876458673,17.038017360888393,POP_TGW,1997,
0.0,102.505527596613,17.379374050324234,POP_TGW,1998,
0.0,103.25146805122857,17.76690449317016,POP_TGW,1999,
0.0,104.13334408150712,18.13015363012821,POP_TGW,2000,
0.0,105.24735998064767,18.579433811309354,POP_TGW,2001,
0.0,106.52628737110943,19.108420985667383,POP_TGW,2002,
0.0,107.91829110574986,19.72090803957473,POP_TGW,2003,
0.0,108.72049454978372,20.26390736822091,POP_TGW,2004,
0.0,109.14682896429825,20.785249471365884,POP_TGW,2005,
0.0,109.15994939681057,21.26971399774576,POP_TGW,2006,
0.0,108.83350088898636,21.73206602656964,POP_TGW,2007,
0.0,107.40389480094065,21.975500042224965,POP_TGW,2008,
0.0,99.56477727538446,20.65474591648302,POP_TGW,2009,
0.0,95.48662915298405,20.23541616094027,POP_TGW,2010,
0.0,98.68837956714331,21.702665909594042,POP_TGW,2011,
0.0,98.36817018243491,22.38969419885951,POP_TGW,2012,
0.0,86.31909943249532,20.077463708210608,POP_TGW,2013,
0.0,86.50016013476471,20.934475645213812,POP_TGW,2014,
0.0,87.26118693500551,22.038399130786395,POP_TGW,2015,
0.0,76.07586375333264,20.03325611462261,POP_TGW,2016,
0.0,65.8597833780944,17.96670691480252,POP_TGW,2017,
0.0,57.99030234551705,16.321090011797068,POP_TGW,2018,
0.0,55.36322774959589,16.050777886006784,POP_TGW,2019,
0.0,52.79772807075414,15.76054505420941,POP_TGW,2020,
0.0,52.40505784821998,16.082916904584746,POP_TGW,2021,
0.0,52.640595447615894,16.599660284621716,POP_TGW,2022,
0.0,52.72607619731297,17.061908538005845,POP_TGW,2023,
0.0,52.759638741874426,17.493691658074727,POP_TGW,2024,
0.0,52.757240993216875,17.894942928288756,POP_TGW,2025,
0.0,52.73172314341234,18.266530761751866,POP_TGW,2026,
0.0,52.68624902200684,18.60820791767108,POP_TGW,2027,
0.0,52.623501943548305,18.919354952936498,POP_TGW,2028,
0.0,52.540942397445164,19.199325025587637,POP_TGW,2029,
0.0,52.43440819634739,19.446870992963767,POP_TGW,2030,
0.0,0.0,0.0,POP_NOSEX,1970,3.0
0.0,0.0,0.0,POP_NOSEX,1971,3.0
0.0,0.0,0.0,POP_NOSEX,1972,3.0
0.0,0.0,0.0,POP_NOSEX,1973,3.0
0.0,0.0,0.0,POP_NOSEX,1974,3.0
0.0,0.0,0.0,POP_NOSEX,1975,3.0
0.0,0.0,0.0,POP_NOSEX,1976,3.0
0.0,0.0,0.0,POP_NOSEX,1977,3.0
0.0,0.0,0.0,POP_NOSEX,1978,3.0
0.0,0.0,0.0,POP_NOSEX,1979,3.0
0.0,0.0,0.0,POP_NOSEX,1980,3.0
0.0,0.0,0.0,POP_NOSEX,1981,3.0
0.0,0.0,0.0,POP_NOSEX,1982,3.0
0.0,0.0,0.0,POP_NOSEX,1983,3.0
0.0,0.0,0.0,POP_NOSEX,1984,3.0
0.0,0.0,0.0,POP_NOSEX,1985,3.0
0.0,0.0,0.0,POP_NOSEX,1986,3.0
0.0,0.0,0.0,POP_NOSEX,1987,3.0
0.0,0.0,0.0,POP_NOSEX,1988,3.0
0.0,0.0,0.0,POP_NOSEX,1989,3.0
0.0,0.0,0.0,POP_NOSEX,1990,3.0
0.0,0.0,0.0,POP_NOSEX,1991,3.0
0.0,0.0,0.0,POP_NOSEX,1992,3.0
0.0,0.0,0.0,POP_NOSEX,1993,3.0
0.0,0.0,0.0,POP_NOSEX,1994,3.0
0.0,0.0,0.0,POP_NOSEX,1995,3.0
0.0,0.0,0.0,POP_NOSEX,1996,3.0
0.0,0.0,0.0,POP_NOSEX,1997,3.0
0.0,0.0,0.0,POP_NOSEX,1998,3.0
0.0,0.0,0.0,POP_NOSEX,1999,3.0
0.0,0.0,0.0,POP_NOSEX,2000,3.0
0.0,0.0,0.0,POP_NOSEX,2001,3.0
0.0,0.0,0.0,POP_NOSEX,2002,3.0
0.0,0.0,0.0,POP_NOSEX,2003,3.0
0.0,0.0,0.0,POP_NOSEX,2004,3.0
0.0,0.0,0.0,POP_NOSEX,2005,3.0
0.0,0.0,0.0,POP_NOSEX,2006,3.0
0.0,0.0,0.0,POP_NOSEX,2007,3.0
0.0,0.0,0.0,POP_NOSEX,2008,3.0
0.0,0.0,0.0,POP_NOSEX,2009,3.0
0.0,0.0,0.0,POP_NOSEX,2010,3.0
0.0,0.0,0.0,POP_NOSEX,2011,3.0
0.0,0.0,0.0,POP_NOSEX,2012,3.0
0.0,0.0,0.0,POP_NOSEX,2013,3.0
0.0,0.0,0.0,POP_NOSEX,2014,3.0
0.0,0.0,0.0,POP_NOSEX,2015,3.0
0.0,0.0,0.0,POP_NOSEX,2016,3.0
0.0,0.0,0.0,POP_NOSEX,2017,3.0
0.0,0.0,0.0,POP_NOSEX,2018,3.0
0.0,0.0,0.0,POP_NOSEX,2019,3.0
0.0,0.0,0.0,POP_NOSEX,2020,3.0
0.0,0.0,0.0,POP_NOSEX,2021,3.0
0.0,0.0,0.0,POP_NOSEX,2022,3.0
0.0,0.0,0.0,POP_NOSEX,2023,3.0
0.0,0.0,0.0,POP_NOSEX,2024,3.0
0.0,0.0,0.0,POP_NOSEX,2025,3.0
0.0,0.0,0.0,POP_NOSEX,2026,3.0
0.0,0.0,0.0,POP_NOSEX,2027,3.0
0.0,0.0,0.0,POP_NOSEX,2028,3.0
0.0,0.0,0.0,POP_NOSEX,2029,3.0
0.0,0.0,0.0,POP_NOSEX,2030,3.0
0.0,0.0,0.0,POP_NEVER,1970,3.0
0.0,0.0,0.0,POP_NEVER,1971,3.0
0.0,0.0,0.0,POP_NEVER,1972,3.0
0.0,0.0,0.0,POP_NEVER,1973,3.0
0.0,0.0,0.0,POP_NEVER,1974,3.0
1243.733536217889,421.73043508637267,30.9764845691023,POP_NEVER,1975,3.0
884.6331142971906,228.60504724350838,16.67732274610112,POP_NEVER,1976,3.0
1160.1236880832378,273.1705090136607,20.106472652004204,POP_NEVER,1977,3.0
1533.1293885173366,335.61289370324687,24.85913311369688,POP_NEVER,1978,3.0
1982.3879412505164,410.4310437821228,30.551986626242723,POP_NEVER,1979,3.0
2503.756619226144,497.59714342719263,37.21966902052454,POP_NEVER,1980,3.0
3091.37767130863,596.8077424633,44.87086586905059,POP_NEVER,1981,3.0
3740.640105532133,707.9422233566547,53.53139600695081,POP_NEVER,1982,3.0
4444.2302058006,830.446463392235,63.19784142383158,POP_NEVER,1983,3.0
5191.665344409424,963.2248028426826,73.82765268187565,POP_NEVER,1984,3.0
5975.182243462876,1105.2380328594568,85.37670854991174,POP_NEVER,1985,3.0
